"","USER_ID","AgeGroup","Gender","Income","HouseholdStatus","EducationLevel","Q124742","Q124122","Q123464","Q123621","Q122769","Q122770","Q122771","Q122120","Q121699","Q121700","Q120978","Q121011","Q120379","Q120650","Q120472","Q120194","Q120012","Q120014","Q119334","Q119851","Q119650","Q118892","Q118117","Q118232","Q118233","Q118237","Q117186","Q117193","Q116797","Q116881","Q116953","Q116601","Q116441","Q116448","Q116197","Q115602","Q115777","Q115610","Q115611","Q115899","Q115390","Q114961","Q114748","Q115195","Q114517","Q114386","Q113992","Q114152","Q113583","Q113584","Q113181","Q112478","Q112512","Q112270","Q111848","Q111580","Q111220","Q110740","Q109367","Q108950","Q109244","Q108855","Q108617","Q108856","Q108754","Q108342","Q108343","Q107869","Q107491","Q106993","Q106997","Q106272","Q106388","Q106389","Q106042","Q105840","Q105655","Q104996","Q103293","Q102906","Q102674","Q102687","Q102289","Q102089","Q101162","Q101163","Q101596","Q100689","Q100680","Q100562","Q99982","Q100010","Q99716","Q99581","Q99480","Q98869","Q98578","Q98059","Q98078","Q98197","Q96024","Party"
"1",1,"Over65","Male","over $150,000","Married (w/kids)","Current Undergraduate","No","Yes","No","No","No","Yes","Public","No","Yes","No","No","No","No","Yes","Science","Try first","No","No","No","Yes","Giving","Yes","Yes","Idealist","No","No","Cool headed","Odd hours","Yes","Happy","Yes","Yes","No","No","P.M.","Yes","Start","Yes","No","Circumstances","Yes","Yes","Yes","Yes","No","Mysterious","Yes","Yes","Talk","Technology","No","No","Yes","No","No","Demanding","No","PC","No","Cautious","No","Yes!","No","Space","No","In-person","No","Yes","No","Yes","Yay people!","Yes","No","Yes","Yes","No","No","Yes","No","No","No","Yes","No","Own","Optimist","Dad","Yes","Yes","No","No","Nope","Yes","No","No","Yes","No","No","Only-child","No","No","Yes","Democrat"
"2",4,"45-54","Female","over $150,000","Domestic Partners (w/kids)","Bachelor's Degree","No","Yes","No","No","No","Yes","Public","No","Yes","No","Yes","No","No","Yes","Science","Study first","Yes","Yes","No","No","Receiving","No","No","Pragmatist","No","No","Cool headed","Standard hours","No","Happy","Yes","Yes","Yes","No","A.M.","No","End","Yes","No","Me","Yes","Yes","No","Yes","No","Mysterious","No","No","Talk","Technology","No","No","Yes","Yes","No","Demanding","No","Mac","Yes","Cautious","No","Umm...","No","Space","Yes","In-person","No","Yes","Yes","No","Yay people!","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","Own","Optimist","Mom","No","Yes","No","No","Check!","Yes","No","No","No","No","No","Only-child","Yes","No","No","Democrat"
"3",8,"25-34","Male","$100,001 - $150,000","Married (w/kids)","Bachelor's Degree","No","Yes","No","Yes","No","No","Public","No","Yes","No","Yes","No","No","Yes","Science","Try first","No","Yes","Yes","No","Giving","Yes","No","Idealist","No","No","Cool headed","Standard hours","No","Happy","Yes","Yes","No","No","A.M.","Yes","Start","Yes","No","Circumstances","Yes","No","No","Yes","No","TMI","No","No","Talk","People","No","Yes","Yes","Yes","Yes","Supportive","No","Mac","Yes","Risk-friendly","No","Umm...","No","Socialize","Yes","Online","No","Yes","No","Yes","Grrr people","No","No","Yes","Yes","No","Yes","Yes","No","No","No","Yes","Yes","Own","Optimist","Mom","No","No","No","Yes","Check!","No","No","No","Yes","Yes","No","Yes","No","No","Yes","Democrat"
"4",11,"25-34","Male","$25,001 - $50,000","Married (no kids)","Current Undergraduate","No","Yes","No","No","No","No","Public","No","Yes","No","Yes","Yes","No","Yes","Science","Study first","Yes","No","No","No","Giving","No","No","Pragmatist","No","Yes","Cool headed","Odd hours","No","Happy","No","Yes","No","Yes","P.M.","Yes","End","Yes","No","Me","Yes","Yes","No","Yes","No","Mysterious","Yes","No","Tunes","Technology","Yes","Yes","Yes","No","Yes","Supportive","No","PC","Yes","Cautious","Yes","Umm...","No","Space","No","Online","Yes","No","Yes","No","Grrr people","Yes","No","Yes","No","Yes","No","No","Yes","Yes","No","No","No","Own","Pessimist","Mom","No","Yes","Yes","Yes","Nope","Yes","No","No","Yes","No","No","Yes","No","Yes","Yes","Democrat"
"5",13,"18-24","Male","under $25,000","Single (no kids)","Current K-12","No","Yes","Yes","No","No","Yes","Public","Yes","No","No","Yes","No","Yes","Yes","Science","Study first","No","No","No","No","Receiving","Yes","Yes","Pragmatist","No","Yes","Cool headed","Standard hours","No","Happy","Yes","No","No","No","P.M.","Yes","Start","Yes","No","Me","Yes","Yes","Yes","Yes","No","Mysterious","No","No","Tunes","Technology","No","Yes","Yes","No","Yes","Demanding","No","PC","No","Cautious","No","Yes!","No","Space","No","In-person","No","No","Yes","Yes","Grrr people","No","No","Yes","No","No","Yes","No","Yes","No","No","Yes","No","Own","Optimist","Dad","No","No","Yes","No","Nope","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes","Republican"
"6",16,"45-54","Male","over $150,000","Married (no kids)","Bachelor's Degree","No","Yes","No","Yes","No","Yes","Public","No","Yes","No","Yes","Yes","No","Yes","Science","Study first","No","Yes","Yes","Yes","Giving","Yes","No","Pragmatist","Yes","No","Cool headed","Odd hours","No","Happy","No","Yes","No","No","A.M.","Yes","End","Yes","Yes","Me","Yes","No","Yes","Yes","Yes","Mysterious","No","No","Talk","Technology","No","No","Yes","Yes","Yes","Demanding","No","Mac","Yes","Risk-friendly","No","Umm...","No","Space","No","In-person","No","No","Yes","No","Grrr people","Yes","Yes","No","Yes","No","No","No","Yes","No","No","Yes","No","Own","Optimist","Dad","No","Yes","No","No","Check!","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Republican"
"7",18,"45-54","Male","$50,000 - $74,999","Married (w/kids)","High School Diploma","No","Yes","No","Yes","No","Yes","Public","Yes","Yes","No","Yes","No","No","Yes","Science","Try first","No","No","Yes","No","Giving","Yes","Yes","Pragmatist","Yes","No","Cool headed","Odd hours","Yes","Happy","Yes","Yes","Yes","No","P.M.","No","Start","Yes","Yes","Me","Yes","No","Yes","Yes","No","Mysterious","Yes","Yes","Tunes","Technology","Yes","No","Yes","Yes","Yes","Supportive","Yes","PC","No","Cautious","Yes","Yes!","No","Space","No","Online","Yes","Yes","Yes","Yes","Yay people!","Yes","No","Yes","No","Yes","No","No","Yes","No","No","Yes","Yes","Rent","Optimist","Dad","Yes","Yes","Yes","Yes","Nope","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Democrat"
"8",19,"18-24","Male","$75,000 - $100,000","Single (no kids)","Current K-12","Yes","No","No","No","No","Yes","Public","No","No","Yes","Yes","No","No","Yes","Science","Study first","Yes","Yes","No","No","Receiving","No","No","Idealist","Yes","No","Hot headed","Odd hours","No","Right","No","No","No","Yes","P.M.","No","End","Yes","No","Circumstances","Yes","Yes","Yes","Yes","No","Mysterious","No","No","Tunes","People","No","Yes","Yes","Yes","Yes","Supportive","No","PC","Yes","Risk-friendly","No","Umm...","No","Socialize","No","In-person","Yes","No","Yes","No","Grrr people","Yes","No","Yes","No","Yes","Yes","Yes","No","No","No","Yes","No","Own","Optimist","Dad","No","No","No","Yes","Nope","No","No","No","Yes","No","Yes","Yes","No","No","Yes","Republican"
"9",20,"45-54","Male","$75,000 - $100,000","Married (w/kids)","Bachelor's Degree","No","Yes","No","Yes","No","Yes","Public","No","Yes","No","Yes","No","Yes","Yes","Science","Study first","No","Yes","No","Yes","Giving","Yes","No","Idealist","Yes","Yes","Hot headed","Odd hours","No","Happy","Yes","Yes","No","No","A.M.","Yes","Start","Yes","Yes","Me","Yes","No","Yes","No","No","Mysterious","No","No","Talk","Technology","No","Yes","Yes","No","No","Supportive","No","Mac","No","Cautious","No","Umm...","No","Space","No","Online","Yes","No","Yes","No","Grrr people","Yes","No","No","No","No","Yes","Yes","No","No","Yes","No","No","Own","Optimist","Dad","No","Yes","No","No","Nope","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes","Republican"
"10",21,"35-44","Male","over $150,000","Married (w/kids)","Bachelor's Degree","No","No","No","Yes","No","Yes","Private","Yes","Yes","No","No","No","No","Yes","Science","Try first","No","Yes","Yes","Yes","Receiving","No","No","Pragmatist","Yes","Yes","Cool headed","Odd hours","No","Happy","Yes","Yes","Yes","Yes","P.M.","Yes","End","Yes","No","Me","No","Yes","No","Yes","No","Mysterious","Yes","No","Talk","Technology","Yes","No","Yes","Yes","No","Supportive","No","PC","No","Risk-friendly","No","Yes!","No","Socialize","Yes","In-person","No","Yes","Yes","Yes","Yay people!","Yes","Yes","No","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Rent","Optimist","Dad","No","Yes","Yes","Yes","Check!","Yes","No","No","Yes","Yes","No","Yes","No","Yes","Yes","Republican"
